Test_ID,Category,Geometry,Fluid,Re_ch,Q_LPM,Power_W,Mesh,Model,Solver,Cores,Est_Runtime_min,Key_Monitors
VERIF-2A-G1,Grid Convergence,Base 1U (OR=0.50),FC-40,250,5.0,700,Ultra-Fine (1.32M cells),Laminar,chtMultiRegionSimpleFoam,32,6.0,"T_chip, dp, Phi_bypass, y+"
VERIF-2A-G2,Grid Convergence,Base 1U (OR=0.50),FC-40,250,5.0,700,Fine (720k cells),Laminar,chtMultiRegionSimpleFoam,32,3.5,"T_chip, dp, Phi_bypass, y+"
VERIF-2A-G3,Grid Convergence,Base 1U (OR=0.50),FC-40,250,5.0,700,Medium (350k cells),Laminar,chtMultiRegionSimpleFoam,32,1.5,"T_chip, dp, Phi_bypass, y+"
VERIF-2A-G4,Grid Convergence,Base 1U (OR=0.50),FC-40,250,5.0,700,Coarse (180k cells),Laminar,chtMultiRegionSimpleFoam,32,0.8,"T_chip, dp, Phi_bypass, y+"
VERIF-2B-LOW,Conservation & Monitors,Base 1U (OR=0.00),FC-40,250,5.0,700,Medium (350k),Laminar,chtMultiRegionSimpleFoam,32,1.5,"Mass imbalance, Energy closure, Iteration histories"
VERIF-2B-MID,Conservation & Monitors,Base 1U (OR=0.50),FC-40,250,5.0,700,Medium (350k),Laminar,chtMultiRegionSimpleFoam,32,1.5,"Mass imbalance, Energy closure, Iteration histories"
VERIF-2B-HIGH,Conservation & Monitors,Base 1U (OR=1.00),FC-40,250,5.0,700,Medium (350k),Laminar,chtMultiRegionSimpleFoam,32,1.5,"Mass imbalance, Energy closure, Iteration histories"
VERIF-2C-LAM-1000,Turbulence Sensitivity,Base 1U (OR=0.50),FC-40,1000,20.0,700,"Fine (720k, y+~0.6)",Laminar,chtMultiRegionSimpleFoam,32,3.5,"Phi_bypass, T_chip, dp, Nu"
VERIF-2C-RANS-1000,Turbulence Sensitivity,Base 1U (OR=0.50),FC-40,1000,20.0,700,"Fine (720k, y+~0.6)",Realizable k-eps (EWT),chtMultiRegionSimpleFoam,32,4.5,"Phi_bypass, T_chip, dp, Nu"
VERIF-2D-BOUSS,Buoyancy Sensitivity,Base 1U (OR=0.50),FC-40,30,1.0,700,Medium (350k),Boussinesq,chtMultiRegionSimpleFoam,32,2.0,"Phi_bypass, w-velocity, T_chip"
VERIF-2D-VAR-RHO,Buoyancy Sensitivity,Base 1U (OR=0.50),FC-40,30,1.0,700,Medium (350k),Variable rho(T),chtMultiRegionSimpleFoam,32,2.5,"Phi_bypass, w-velocity, T_chip"
VERIF-2E-MU-VAR,Viscosity Sensitivity,Base 1U (OR=0.50),FC-40,150,3.0,700,Medium (350k),T-dependent mu(T),chtMultiRegionSimpleFoam,32,1.5,"Phi_bypass, Re_active, T_chip, dp"
VERIF-2E-MU-CONST,Viscosity Sensitivity,Base 1U (OR=0.50),FC-40,150,3.0,700,Medium (350k),Constant mu(T_in),chtMultiRegionSimpleFoam,32,1.5,"Phi_bypass, Re_active, T_chip, dp"
VERIF-3A-DEPTH-LOW,Tank Depth Sensitivity,H_tank = 44.45 mm,FC-40,250,5.0,700,Medium (350k),Laminar,chtMultiRegionSimpleFoam,32,1.5,"Phi_bypass, R_th, dp"
VERIF-3A-DEPTH-NOM,Tank Depth Sensitivity,H_tank = 50.00 mm,FC-40,250,5.0,700,Medium (350k),Laminar,chtMultiRegionSimpleFoam,32,1.5,"Phi_bypass, R_th, dp"
VERIF-3A-DEPTH-HIGH,Tank Depth Sensitivity,H_tank = 55.00 mm,FC-40,250,5.0,700,Medium (350k),Laminar,chtMultiRegionSimpleFoam,32,1.5,"Phi_bypass, R_th, dp"
VERIF-3B-PLAN-NARROW,Fin Plan Area Sensitivity,Array 31.2 x 81 mm,FC-40,250,5.0,700,Medium (350k),Laminar,chtMultiRegionSimpleFoam,32,1.5,"Re_channel, T_chip, dp"
VERIF-3B-PLAN-WIDE,Fin Plan Area Sensitivity,Array 78.0 x 118 mm,FC-40,250,5.0,700,Medium (350k),Laminar,chtMultiRegionSimpleFoam,32,1.5,"Re_channel, T_chip, dp"
